Method,Nominal_Alpha,Realized_FWER,FWER_SE,Realized_FDR,FDR_SE,Power,Calibration_Error
Bonferroni,0.010,1.000,0.000,0.596,0.005,0.438,0.990
Holm,0.010,1.000,0.000,0.595,0.005,0.462,0.990
BH,0.010,1.000,0.000,0.595,0.005,0.543,0.990
Bootstrap-Single,0.010,0.382,0.022,0.321,0.019,0.033,0.372
Bootstrap-RomanoWolf,0.010,0.310,0.021,0.268,0.019,0.024,0.300
Bonferroni,0.025,1.000,0.000,0.598,0.005,0.462,0.975
Holm,0.025,1.000,0.000,0.596,0.005,0.492,0.975
BH,0.025,1.000,0.000,0.595,0.004,0.590,0.975
Bootstrap-Single,0.025,0.506,0.022,0.402,0.019,0.051,0.481
Bootstrap-RomanoWolf,0.025,0.472,0.022,0.377,0.019,0.048,0.447
Bonferroni,0.050,1.000,0.000,0.591,0.004,0.505,0.950
Holm,0.050,1.000,0.000,0.592,0.004,0.539,0.950
BH,0.050,1.000,0.000,0.597,0.003,0.645,0.950
Bootstrap-Single,0.050,0.602,0.022,0.435,0.018,0.076,0.552
Bootstrap-RomanoWolf,0.050,0.574,0.022,0.413,0.018,0.073,0.524
